Atomic#,Symbol,ElementName,AtomicWeight,Ka1 ,Intensity,Ka2 ,Intensity,Kb1 ,Intensity,Kb2 ,Intensity,Kb3 ,Intensity,La1 ,Intensity,La2 ,Intensity,Lb1 ,Intensity,Lb2 ,Intensity,Lb3 ,Intensity,Lb4 ,Intensity,Lg1 ,Intensity,Lg2 ,Intensity,Lg3 ,Intensity,Ll,Intensity
81,Tl,Thallium,204.38,72.8715,100,70.8319,50,82.576,0,0,0,0,0,10.2685,100,10.1728,10,12.2133,36,12.2715,20,12.3875,6.3,11.9297,4,14.2915,6,14.62,2.7,10.99,2,8.9523,4.5
82,Pb,Lead,207.2,74.9694,100,72.8042,50,84.936,0,0,0,0,0,10.5515,100,10.4495,10,12.6137,38,12.6226,12,12.7921,3,12.3052,4,14.7644,7.5,15.0921,2.7,11.345,2,9.1853,4.5
83,Bi,Bismuth,208.98,77.1079,100,74.8148,50,87.343,0,0,0,0,0,10.8388,100,10.73091,10,13.0235,38,12.9799,14,13.2067,2,12.6892,2,15.2477,8,15.5754,2.7,11.708,2,9.4203,6
84,Po,Polonium,209,79.29,100,76.862,50,89.8,0,0,0,0,0,11.1308,100,11.0158,10,13.447,38,13.3404,14,13.6319,2,13.082,2,15.744,8,16.0702,2.7,12.085,2,9.6574,6
85,At,Astatine,210,81.52,0,78.95,50,92.3,0,0,0,0,0,11.4268,100,11.3048,10,13.876,38,0,14,14.0678,2,13.4839,2,16.251,8,16.5769,2.7,12.47,2,9.8964,6
86,Rn,Radon,222,83.78,0,81.07,0,94.87,0,0,0,0,0,11.727,100,11.5979,10,14.316,38,0,14,14.5148,2,13.8951,2,16.77,8,17.0956,2.7,12.86,2,10.1374,6
87,Fr,Francium,223,86.1,0,83.23,0,97.47,0,0,0,0,0,12.0313,100,11.895,10,14.77,38,14.45,14,14.9733,2,14.3159,2,17.303,8,17.6268,2.7,13.256,2,10.3801,6
88,Ra,Radium,226.02,88.47,0,85.43,0,100.13,0,0,0,0,0,12.3397,100,12.1962,10,15.2358,38,14.8414,14,15.4436,2,14.7465,2,17.849,8,18.1708,2.7,13.658,2,10.6247,6
89,Ac,Actinium,227.02,90.884,0,87.67,0,102.85,0,0,0,0,0,12.652,100,12.5008,10,15.713,38,0,14,15.9261,2,15.1873,2,18.408,8,18.728,2.7,14.078,2,10.871,6
90,Th,Thorium,232.03,93.35,0,89.953,0,105.609,0,0,0,0,0,12.9687,100,12.8096,10,16.2022,38,15.6237,14,16.4212,2,15.6385,2,18.9825,8,19.2987,2.7,14.505,2,11.1189,6
91,Pa,Protoactinium,231.04,95.868,0,92.287,0,108.427,0,0,0,0,0,13.2907,100,13.1222,10,16.702,38,16.024,14,16.9293,2,16.1005,2,19.568,8,19.8832,2.7,14.942,2,11.3685,6
92,U,Uranium,0,98.439,0,94.665,0,111.3,0,0,0,0,0,13.6147,100,13.4388,10,17.22,38,16.4283,14,17.4509,2,16.5737,2,20.1671,8,20.4821,2.7,15.394,2,11.6196,6
93,Np,Neptunium,0,0,0,0,0,0,0,0,0,0,0,13.9441,100,13.7597,10,17.7502,38,16.84,14,17.9864,2,17.0582,2,20.7848,8,21.0956,2.7,15.874,2,11.8722,6
94,Pu,Plutonium,0,0,0,0,0,0,0,0,0,0,0,14.2786,100,14.0842,10,18.2937,38,17.2553,14,18.5362,2,17.5547,2,21.4173,8,21.7242,2.7,16.33,2,12.1262,6
95,Am,Americium,0,0,0,0,0,0,0,0,0,0,0,14.6172,100,14.4119,10,18.852,38,17.6765,14,19.101,2,18.0633,2,22.0652,8,22.3684,2.7,16.79,2,12.3817,6
96,Cm,Californium,0,0,0,0,0,0,0,0,0,0,0,14.9545,100,14.748,10,19.4102,38,18.1011,14,19.6811,2,18.5846,2,22.7242,8,23.0285,2.7,17.25,2,12.6384,6
